"country","date","month","year","value","min","based_value"
"Austria",Jun 2021,"06","2021",71.4825938591816,42.8524053146436,1.66811158753682
"Austria",Jul 2021,"07","2021",72.066949524066,42.8524053146436,1.68174806046276
"Austria",Aug 2021,"08","2021",73.9453234689024,42.8524053146436,1.72558163132172
"Austria",Sep 2021,"09","2021",78.9350980043821,42.8524053146436,1.84202257550775
"Austria",Oct 2021,"10","2021",85.7356668233056,42.8524053146436,2.00072005745749
"Austria",Nov 2021,"11","2021",108.123208681234,42.8524053146436,2.52315378535557
"Austria",Dec 2021,"12","2021",136.304523951427,42.8524053146436,3.18079050523795
"Azerbaijan",Jan 2021,"01","2021",22.2912900036325,22.2912900036325,1
"Azerbaijan",Feb 2021,"02","2021",22.9038076851139,22.2912900036325,1.02747789299684
"Azerbaijan",Mar 2021,"03","2021",24.0552943123753,22.2912900036325,1.07913424070367
"Azerbaijan",Apr 2021,"04","2021",28.9835448479125,22.2912900036325,1.30021837422551
"Azerbaijan",May 2021,"05","2021",32.4508428144843,22.2912900036325,1.45576334116133
"Azerbaijan",Jun 2021,"06","2021",33.0620850973246,22.2912900036325,1.48318401904677
"Azerbaijan",Jul 2021,"07","2021",33.3965677839953,22.2912900036325,1.49818910339209
"Azerbaijan",Aug 2021,"08","2021",37.0794181654246,22.2912900036325,1.66340387475926
"Azerbaijan",Sep 2021,"09","2021",45.5717945493593,22.2912900036325,2.04437672929351
"Azerbaijan",Oct 2021,"10","2021",49.6302102584061,22.2912900036325,2.22643957574095
"Azerbaijan",Nov 2021,"11","2021",55.4732313033358,22.2912900036325,2.48856083673471
"Azerbaijan",Dec 2021,"12","2021",59.8035295389322,22.2912900036325,2.68282048859383
"Bahamas",Jan 2021,"01","2021",20.4399456371946,20.4399456371946,1
"Bahamas",Feb 2021,"02","2021",21.2461347546586,20.4399456371946,1.03944184254566
"Bahamas",Mar 2021,"03","2021",22.295378242803,20.4399456371946,1.09077483074281
"Bahamas",Apr 2021,"04","2021",24.5510890498278,20.4399456371946,1.20113279583054
"Bahamas",May 2021,"05","2021",28.3249805097136,20.4399456371946,1.38576594147935
"Bahamas",Jun 2021,"06","2021",31.0338514118317,20.4399456371946,1.51829422458734
"Bahamas",Jul 2021,"07","2021",34.2731271606656,20.4399456371946,1.67677193320411
"Bahamas",Aug 2021,"08","2021",41.9720363608682,20.4399456371946,2.05343189780758
"Bahamas",Sep 2021,"09","2021",50.1938556161337,20.4399456371946,2.45567461416316
"Bahamas",Oct 2021,"10","2021",55.4301775256655,20.4399456371946,2.7118554280692
"Bahamas",Nov 2021,"11","2021",57.4743334147069,20.4399456371946,2.81186332071847
"Bahamas",Dec 2021,"12","2021",58.9261245960851,20.4399456371946,2.88289047544517
"Bahrain",Jan 2021,"01","2021",57.3040402055975,57.3040402055975,1
"Bahrain",Feb 2021,"02","2021",66.4298437732058,57.3040402055975,1.15925235873189
"Bahrain",Mar 2021,"03","2021",78.0965383031471,57.3040402055975,1.36284523783924
"Bahrain",Apr 2021,"04","2021",94.7738860421933,57.3040402055975,1.65387790637728
"Bahrain",May 2021,"05","2021",120.163362870851,57.3040402055975,2.09694399277476
"Bahrain",Jun 2021,"06","2021",151.835829734234,57.3040402055975,2.64965313422006
"Bahrain",Jul 2021,"07","2021",157.299977574961,57.3040402055975,2.74500675712558
"Bahrain",Aug 2021,"08","2021",159.242836362262,57.3040402055975,2.7789111516557
"Bahrain",Sep 2021,"09","2021",160.997808119459,57.3040402055975,2.80953677161026
"Bahrain",Oct 2021,"10","2021",162.220898175784,57.3040402055975,2.83088064286151
"Bahrain",Nov 2021,"11","2021",162.946013604195,57.3040402055975,2.84353447016251
"Bahrain",Dec 2021,"12","2021",163.818954695185,57.3040402055975,2.85876797006684
"Bangladesh",Jan 2021,"01","2021",3.19494477595418,3.19494477595418,1
"Bangladesh",Feb 2021,"02","2021",3.28447076813515,3.19494477595418,1.0280211391617
"Bangladesh",Mar 2021,"03","2021",3.44407652987368,3.19494477595418,1.07797685762662
"Bangladesh",Apr 2021,"04","2021",4.25706252114625,3.19494477595418,1.33243696516628
"Bangladesh",May 2021,"05","2021",4.74237006522758,3.19494477595418,1.48433553559975
"Bangladesh",Jun 2021,"06","2021",5.11868697692553,3.19494477595418,1.60212064241292
"Bangladesh",Jul 2021,"07","2021",6.54888740342449,3.19494477595418,2.04976544593596
"Bangladesh",Aug 2021,"08","2021",8.57040518474396,3.19494477595418,2.68248930286577
"Bangladesh",Sep 2021,"09","2021",9.31805543287511,3.19494477595418,2.91649968506646
"Bangladesh",Oct 2021,"10","2021",9.49922898970556,3.19494477595418,2.97320600380912
"Bangladesh",Nov 2021,"11","2021",9.55094557208544,3.19494477595418,2.9893930073433
"Bangladesh",Dec 2021,"12","2021",9.5971437176333,3.19494477595418,3.0038527707469
"Barbados",Jan 2021,"01","2021",3.63046487843465,3.63046487843465,1
"Barbados",Feb 2021,"02","2021",7.86427400716943,3.63046487843465,2.16618925413218
"Barbados",Mar 2021,"03","2021",11.9529649264225,3.63046487843465,3.29240615917383
"Barbados",Apr 2021,"04","2021",13.0717202965273,3.63046487843465,3.60056376641313
"Barbados",May 2021,"05","2021",13.7812186359972,3.63046487843465,3.79599282666502
"Barbados",Jun 2021,"06","2021",14.0720531995226,3.63046487843465,3.87610228186259
"Barbados",Jul 2021,"07","2021",14.7232401949554,3.63046487843465,4.05546966792406
"Barbados",Aug 2021,"08","2021",16.0113356893601,3.63046487843465,4.41027147362563
"Barbados",Sep 2021,"09","2021",22.1776031680302,3.63046487843465,6.10875023189661
"Barbados",Oct 2021,"10","2021",44.7653314513856,3.63046487843465,12.3304681219467
"Barbados",Nov 2021,"11","2021",77.3255942086478,3.63046487843465,21.2990889040051
"Barbados",Dec 2021,"12","2021",93.8878493699445,3.63046487843465,25.8611093933585
"Belarus",Jan 2021,"01","2021",23.5825819756546,23.5825819756546,1
"Belarus",Feb 2021,"02","2021",28.4250053522364,23.5825819756546,1.20533898203263
"Belarus",Mar 2021,"03","2021",32.2662371463584,23.5825819756546,1.36822325815165
"Belarus",Apr 2021,"04","2021",36.0855522493803,23.5825819756546,1.53017817500362
"Belarus",May 2021,"05","2021",39.8864330757119,23.5825819756546,1.69135140150848
"Belarus",Jun 2021,"06","2021",43.0588892753952,23.5825819756546,1.82587679838649
"Belarus",Jul 2021,"07","2021",45.7341002118975,23.5825819756546,1.93931691869495
"Belarus",Aug 2021,"08","2021",48.9849840755412,23.5825819756546,2.07716797618305
"Belarus",Sep 2021,"09","2021",53.9795610711076,23.5825819756546,2.28895890733395
"Belarus",Oct 2021,"10","2021",60.3203471001403,23.5825819756546,2.55783472574852
"Belarus",Nov 2021,"11","2021",66.623619481936,23.5825819756546,2.82511980879425
"Belarus",Dec 2021,"12","2021",71.883741528846,23.5825819756546,3.04817095952661
"Belgium",Jan 2021,"01","2021",820.534270797863,820.534270797863,1
"Belgium",Feb 2021,"02","2021",897.63172576415,820.534270797863,1.09396006688583
"Belgium",Mar 2021,"03","2021",994.079430390382,820.534270797863,1.21150263403839
"Belgium",Apr 2021,"04","2021",1139.77614142275,820.534270797863,1.38906585865629
"Belgium",May 2021,"05","2021",1249.55202893231,820.534270797863,1.52285172405692
"Belgium",Jun 2021,"06","2021",1304.85337282848,820.534270797863,1.59024847500846
