"country","date","month","year","death_rate","min","based_dvalue"
"Armenia",Jan 2021,"01","2021",1.00295825439368,1.00295825439368,0
"Armenia",Feb 2021,"02","2021",1.06055700340526,1.00295825439368,0.0574288598346473
"Armenia",Mar 2021,"03","2021",1.11759978368882,1.00295825439368,0.114303390787132
"Armenia",Apr 2021,"04","2021",1.29106689965535,1.00295825439368,0.28725886047555
"Armenia",May 2021,"05","2021",1.45346865685784,1.00295825439368,0.449181608995789
"Armenia",Jun 2021,"06","2021",1.51342530941982,1.00295825439368,0.508961417676088
"Armenia",Jul 2021,"07","2021",1.53894632165942,1.00295825439368,0.534407154951591
"Armenia",Aug 2021,"08","2021",1.58963200776693,1.00295825439368,0.584943342161247
"Armenia",Sep 2021,"09","2021",1.71302705085052,1.00295825439368,0.707974427994617
"Armenia",Oct 2021,"10","2021",1.94670700562182,1.00295825439368,0.940965136977381
"Armenia",Nov 2021,"11","2021",2.37437655390473,1.00295825439368,1.36737326155227
"Armenia",Dec 2021,"12","2021",2.6439291143262,1.00295825439368,1.6361307688968
"Australia",Jan 2021,"01","2021",0.122881776832395,0.122881776832395,0
"Australia",Feb 2021,"02","2021",0.122881776832395,0.122881776832395,0
"Australia",Mar 2021,"03","2021",0.122881776832395,0.122881776832395,0
"Australia",Apr 2021,"04","2021",0.122967393031875,0.122881776832395,0.000696736340300763
"Australia",May 2021,"05","2021",0.123016960305258,0.122881776832395,0.00110011001100108
"Australia",Jun 2021,"06","2021",0.123016960305258,0.122881776832395,0.00110011001100108
"Australia",Jul 2021,"07","2021",0.123631827068925,0.122881776832395,0.00610383619007071
"Australia",Aug 2021,"08","2021",0.130430247526773,0.122881776832395,0.0614287235175131
"Australia",Sep 2021,"09","2021",0.15438853824098,0.122881776832395,0.256398973230656
"Australia",Oct 2021,"10","2021",0.207279871470749,0.122881776832395,0.686823521061784
"Australia",Nov 2021,"11","2021",0.256938720754792,0.122881776832395,1.09094242757609
"Australia",Dec 2021,"12","2021",0.28829837928753,0.122881776832395,1.34614429184854
"Austria",Jan 2021,"01","2021",0.945621464879455,0.945621464879455,0
"Austria",Feb 2021,"02","2021",1.10802952820851,0.945621464879455,0.171747437384747
"Austria",Mar 2021,"03","2021",1.21228488415406,0.945621464879455,0.281998060723593
"Austria",Apr 2021,"04","2021",1.32805190383135,0.945621464879455,0.40442233298992
"Austria",May 2021,"05","2021",1.41332471819323,0.945621464879455,0.494598812193201
"Austria",Jun 2021,"06","2021",1.44489844258897,0.945621464879455,0.527988202735188
"Austria",Jul 2021,"07","2021",1.45539874154007,0.945621464879455,0.539092327737713
"Austria",Aug 2021,"08","2021",1.46312801219491,0.945621464879455,0.547266074783347
"Austria",Sep 2021,"09","2021",1.48237549594363,0.945621464879455,0.567620396743632
"Austria",Oct 2021,"10","2021",1.52144496530066,0.945621464879455,0.608936579601236
"Austria",Nov 2021,"11","2021",1.61722774915616,0.945621464879455,0.710227410459972
"Austria",Dec 2021,"12","2021",1.80926538260964,0.945621464879455,0.913308284346403
"Azerbaijan",Jan 2021,"01","2021",0.292484189995416,0.292484189995416,0
"Azerbaijan",Feb 2021,"02","2021",0.313606805850997,0.292484189995416,0.0722179747763876
"Azerbaijan",Mar 2021,"03","2021",0.328584983015018,0.292484189995416,0.123428186050559
"Azerbaijan",Apr 2021,"04","2021",0.40016405016516,0.292484189995416,0.36815617340353
"Azerbaijan",May 2021,"05","2021",0.469685729504779,0.292484189995416,0.605849976069269
"Azerbaijan",Jun 2021,"06","2021",0.488613061056085,0.292484189995416,0.670562299670771
"Azerbaijan",Jul 2021,"07","2021",0.492471829760915,0.292484189995416,0.683755384414567
"Azerbaijan",Aug 2021,"08","2021",0.515611079574219,0.292484189995416,0.762868206935561
"Azerbaijan",Sep 2021,"09","2021",0.607044787503257,0.292484189995416,1.07547897721504
"Azerbaijan",Oct 2021,"10","2021",0.667627647060742,0.292484189995416,1.28261106034895
"Azerbaijan",Nov 2021,"11","2021",0.738261906581814,0.292484189995416,1.52410876154839
"Azerbaijan",Dec 2021,"12","2021",0.802995280919735,0.292484189995416,1.74543140582169
"Bahamas",Jan 2021,"01","2021",0.444519620221599,0.444519620221599,0
"Bahamas",Feb 2021,"02","2021",0.452004841728375,0.444519620221599,0.0168389001660822
"Bahamas",Mar 2021,"03","2021",0.470523074661578,0.444519620221599,0.0584978778372394
"Bahamas",Apr 2021,"04","2021",0.489173922478097,0.444519620221599,0.10045518853417
"Bahamas",May 2021,"05","2021",0.554603645011668,0.444519620221599,0.247647167374054
"Bahamas",Jun 2021,"06","2021",0.606148452545637,0.444519620221599,0.363603370855631
"Bahamas",Jul 2021,"07","2021",0.673300801398576,0.444519620221599,0.514670603432368
"Bahamas",Aug 2021,"08","2021",0.811274966597455,0.444519620221599,0.825059974164975
"Bahamas",Sep 2021,"09","2021",1.21060162204682,0.444519620221599,1.72339299993849
"Bahamas",Oct 2021,"10","2021",1.53502411020609,0.444519620221599,2.45322015131943
"Bahamas",Nov 2021,"11","2021",1.68901049719261,0.444519620221599,2.79963092821554
"Bahamas",Dec 2021,"12","2021",1.79891405636827,0.444519620221599,3.04687211662668
"Bahrain",Jan 2021,"01","2021",0.212041640997179,0.212041640997179,0
"Bahrain",Feb 2021,"02","2021",0.238538382872218,0.212041640997179,0.124960086851012
"Bahrain",Mar 2021,"03","2021",0.286905515856174,0.212041640997179,0.353062136790344
"Bahrain",Apr 2021,"04","2021",0.341799371526396,0.212041640997179,0.611944568618686
"Bahrain",May 2021,"05","2021",0.451154847782823,0.212041640997179,1.12767098793026
"Bahrain",Jun 2021,"06","2021",0.72342440343296,0.212041640997179,2.41170913425719
"Bahrain",Jul 2021,"07","2021",0.808393353187458,0.212041640997179,2.81242735806884
"Bahrain",Aug 2021,"08","2021",0.814137529961901,0.212041640997179,2.83951721054984
"Bahrain",Sep 2021,"09","2021",0.815867734143246,0.212041640997179,2.84767694829385
"Bahrain",Oct 2021,"10","2021",0.817587827562391,0.212041640997179,2.85578900312919
"Bahrain",Nov 2021,"11","2021",0.818864943212683,0.212041640997179,2.86181195052898
"Bahrain",Dec 2021,"12","2021",0.819237145646142,0.212041640997179,2.86356727760393
"Bangladesh",Jan 2021,"01","2021",0.0478174859521121,0.0478174859521121,0
"Bangladesh",Feb 2021,"02","2021",0.0502851393366904,0.0478174859521121,0.0516056696717504
"Bangladesh",Mar 2021,"03","2021",0.0524185228962111,0.0478174859521121,0.0962208040110435
"Bangladesh",Apr 2021,"04","2021",0.0619293108894579,0.0478174859521121,0.295118504378886
"Bangladesh",May 2021,"05","2021",0.0736688889712322,0.0478174859521121,0.540626561693552
"Bangladesh",Jun 2021,"06","2021",0.0812037774165442,0.0478174859521121,0.698202567526605
"Bangladesh",Jul 2021,"07","2021",0.106238119324186,0.0478174859521121,1.22174205123584
"Bangladesh",Aug 2021,"08","2021",0.146036403338097,0.0478174859521121,2.05403766907253
"Bangladesh",Sep 2021,"09","2021",0.164059958457269,0.0478174859521121,2.43096160725745
"Bangladesh",Oct 2021,"10","2021",0.168418322858246,0.0478174859521121,2.52210743632387
"Bangladesh",Nov 2021,"11","2021",0.169583083162886,0.0478174859521121,2.54646589602637
"Bangladesh",Dec 2021,"12","2021",0.170222697159184,0.0478174859521121,2.55984204877809
"Barbados",Jan 2021,"01","2021",0.0289611013121063,0.0289611013121063,0
"Barbados",Feb 2021,"02","2021",0.0842614102128806,0.0289611013121063,1.90946843853821
"Barbados",Mar 2021,"03","2021",0.134253787477826,0.0289611013121063,3.63565891472868
"Barbados",Apr 2021,"04","2021",0.152068232354691,0.0289611013121063,4.25077519379845
"Barbados",May 2021,"05","2021",0.160071823531254,0.0289611013121063,4.52713178294574
"Barbados",Jun 2021,"06","2021",0.163551645781933,0.0289611013121063,4.64728682170543
"Barbados",Jul 2021,"07","2021",0.166133449387276,0.0289611013121063,4.73643410852713
"Barbados",Aug 2021,"08","2021",0.167480477355281,0.0289611013121063,4.78294573643411
"Barbados",Sep 2021,"09","2021",0.198929838663841,0.0289611013121063,5.86886304909561
"Barbados",Oct 2021,"10","2021",0.393332166657443,0.0289611013121063,12.5813953488372
"Barbados",Nov 2021,"11","2021",0.683089107808373,0.0289611013121063,22.5864341085271
"Barbados",Dec 2021,"12","2021",0.873435384920538,0.0289611013121063,29.1589147286822
"Belarus",Jan 2021,"01","2021",0.166525021966845,0.166525021966845,0
"Belarus",Feb 2021,"02","2021",0.196011816238285,0.166525021966845,0.177071252855386
"Belarus",Mar 2021,"03","2021",0.223753916354959,0.166525021966845,0.343665436654367
"Belarus",Apr 2021,"04","2021",0.253827761804261,0.166525021966845,0.524261992619926
"Belarus",May 2021,"05","2021",0.28588502336186,0.166525021966845,0.716769167691677
"Belarus",Jun 2021,"06","2021",0.317624232824066,0.166525021966845,0.907366406997403
"Belarus",Jul 2021,"07","2021",0.349757166883788,0.166525021966845,1.10032800328003
"Belarus",Aug 2021,"08","2021",0.382806136495535,0.166525021966845,1.29879048790488
"Belarus",Sep 2021,"09","2021",0.419282330797454,0.166525021966845,1.51783381167145
"Belarus",Oct 2021,"10","2021",0.464331024761018,0.166525021966845,1.78835588355884
"Belarus",Nov 2021,"11","2021",0.515155180638552,0.166525021966845,2.09356020226869
"Belarus",Dec 2021,"12","2021",0.564870762808282,0.166525021966845,2.39210742107421
"Belgium",Jan 2021,"01","2021",24.7000318116114,24.7000318116114,0
"Belgium",Feb 2021,"02","2021",26.253652938947,24.7000318116114,0.0628995597732487
"Belgium",Mar 2021,"03","2021",27.329010983353,24.7000318116114,0.106436266632893
"Belgium",Apr 2021,"04","2021",28.6629598613435,24.7000318116114,0.160442224526574
"Belgium",May 2021,"05","2021",29.9107920194088,24.7000318116114,0.21096168003103
"Belgium",Jun 2021,"06","2021",30.4207912725261,24.7000318116114,0.231609396479618
"Belgium",Jul 2021,"07","2021",30.5586617062707,24.7000318116114,0.237191188227751
"Belgium",Aug 2021,"08","2021",30.6744867915245,24.7000318116114,0.241880456894982
"Belgium",Sep 2021,"09","2021",30.8957366879466,24.7000318116114,0.250837931043581
"Belgium",Oct 2021,"10","2021",31.2448920982758,24.7000318116114,0.264973759409804
"Belgium",Nov 2021,"11","2021",32.0590175765413,24.7000318116114,0.297934262638096
