Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
291738,7,2,3,2,4,1,2,1,1
291746,7,1,2,2,2,5,1,1,0
291748,6,2,1,2,2,1,5,2,0
291750,3,1,1,2,2,5,1,2,1
291751,5,2,1,1,1,1,3,1,1
291753,5,2,1,1,3,4,1,1,1
291755,3,2,1,1,1,5,1,1,1
291756,3,2,4,1,3,2,2,2,0
291762,6,2,1,1,2,2,1,1,0
291763,3,2,4,2,2,2,2,1,1
291769,2,2,4,1,2,2,2,1,1
291775,4,1,1,2,4,3,2,1,1
291778,3,1,1,1,3,4,1,1,1
291783,4,1,2,2,1,5,1,1,1
291784,2,2,4,2,1,4,3,2,1
291785,7,1,1,2,3,4,1,1,1
291786,6,1,4,2,2,4,1,1,0
291788,4,1,1,1,2,4,2,1,1
291789,2,2,1,1,1,4,4,1,1
291792,7,2,3,2,4,2,5,2,0
291796,2,2,1,1,4,1,5,2,1
291801,4,1,1,2,4,3,2,1,1
291802,7,2,4,2,2,3,1,1,1
291804,4,2,1,2,1,4,2,2,1
291806,3,1,1,1,1,3,1,1,1
291808,4,1,4,2,1,5,2,1,1
291809,3,1,1,1,2,3,2,2,1
291810,4,1,4,2,3,1,3,1,1
291814,2,2,1,1,1,2,5,1,1
291816,6,1,1,1,3,4,2,1,1
291822,6,1,2,2,1,5,1,1,0
291823,3,1,1,2,2,1,1,1,1
291830,3,2,2,1,2,4,2,1,1
291836,7,2,3,1,4,1,1,1,1
291838,2,1,1,1,1,4,1,2,1
291842,7,1,3,2,1,4,1,1,1
291844,7,2,3,2,2,4,2,1,1
291845,6,1,3,2,2,4,4,2,1
291849,7,2,2,2,1,5,2,1,1
291852,3,2,1,1,1,5,1,1,1
291857,4,1,4,2,3,5,2,1,1
291861,4,2,1,1,2,3,1,1,1
291862,2,1,4,2,3,4,5,2,1
291863,2,2,4,1,3,3,1,1,1
291864,1,2,1,1,2,1,3,2,1
291869,3,1,1,1,2,4,2,1,1
291874,4,2,2,1,3,3,3,1,1
291877,4,2,4,1,1,2,6,2,1
291878,1,2,4,2,3,2,2,1,1
291881,2,1,1,1,3,4,1,1,0
291886,5,1,1,2,2,4,2,1,1
291887,3,2,1,1,2,3,1,1,1
291889,7,1,2,2,3,5,1,1,1
291890,6,2,1,2,4,1,5,2,1
291893,7,1,4,2,4,4,2,1,1
291894,7,2,3,2,2,5,1,1,1
291899,7,2,1,1,4,2,4,1,1
291902,2,1,1,1,3,4,5,1,1
291903,4,1,4,1,3,1,1,1,1
291905,7,2,1,2,4,3,2,1,1
291909,7,2,3,1,1,5,2,1,1
291914,3,2,4,1,2,1,5,2,0
291915,7,1,3,2,2,5,3,1,1
291917,7,2,3,2,2,4,1,1,1
291918,6,1,1,2,3,1,1,1,1
291920,2,2,1,1,3,1,5,1,1
291923,4,2,1,2,1,1,2,1,0
291924,7,1,1,2,1,5,6,1,1
291927,6,2,1,2,1,5,2,1,1
291929,3,1,1,1,4,1,5,2,1
291930,7,1,1,2,4,3,2,1,1
291935,7,2,3,2,4,4,2,1,0
291937,6,1,1,2,3,3,2,1,1
291943,4,2,4,2,2,5,4,1,1
