Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
291528,55,1,1,2,1,5,1,1,0
291529,65,1,4,2,4,4,2,2,1
291531,45,1,1,1,3,3,2,1,1
291534,25,2,4,2,2,3,5,2,1
291538,35,1,4,2,3,1,2,1,1
291539,55,2,1,1,1,1,3,1,1
291540,60,2,3,2,1,3,2,1,1
291542,35,2,1,1,1,1,2,1,1
291547,55,1,1,2,1,5,1,1,1
291551,60,2,1,2,4,5,1,1,1
291553,45,2,1,1,2,1,1,1,1
291555,35,1,1,1,2,1,1,1,1
291559,25,2,1,1,3,2,5,1,0
291560,18,2,1,1,4,2,5,2,0
291563,65,1,1,2,1,4,3,1,1
291571,35,2,1,1,3,2,2,1,1
291573,45,1,1,2,4,3,5,1,0
291579,45,2,1,2,3,3,1,1,1
291581,35,1,2,2,2,5,2,1,1
291584,60,2,2,2,1,5,1,1,1
291587,25,2,4,1,2,1,2,2,1
291589,25,1,1,1,2,3,5,2,1
291590,35,1,4,2,3,1,1,2,1
291591,65,2,3,2,3,4,1,1,1
291597,35,2,1,1,1,4,2,1,1
291598,35,1,1,2,1,5,1,1,1
291602,25,1,1,1,2,5,2,2,1
291605,45,1,1,2,3,2,2,2,0
291606,35,1,1,2,3,4,2,2,0
291610,35,2,1,1,2,1,1,1,1
291613,60,1,1,2,3,1,4,2,1
291615,65,1,2,2,4,4,1,1,1
291618,45,1,1,1,3,1,2,1,1
291621,65,1,1,2,1,4,1,1,1
291623,18,2,4,2,1,5,2,1,1
291625,35,1,4,2,2,5,3,1,1
291626,35,1,1,1,4,2,2,1,1
291629,65,2,3,2,3,4,1,1,1
291635,65,2,4,1,2,2,1,1,1
291636,65,1,1,1,1,2,1,1,0
291637,25,2,4,2,2,5,2,1,1
291640,65,2,1,2,3,4,2,1,0
291642,25,1,4,2,1,3,2,2,1
291646,25,2,1,1,3,1,2,2,0
291648,60,2,1,2,3,4,4,1,1
291650,65,1,4,2,3,5,3,1,1
291651,65,2,3,2,4,1,1,1,1
291652,25,2,1,2,1,3,2,1,1
291653,65,1,2,2,3,5,2,1,1
291656,45,2,1,2,2,4,1,1,1
291660,55,1,1,2,2,5,2,1,1
291668,65,2,2,2,4,3,1,1,1
291670,35,2,1,2,4,3,2,1,1
291671,45,1,2,2,2,1,2,1,1
291673,25,2,1,1,3,2,2,2,1
291674,45,2,1,2,3,2,6,1,1
291675,45,1,4,2,3,3,2,1,1
291679,65,2,2,2,4,2,2,1,1
291681,25,1,2,2,1,1,6,1,1
291684,65,1,3,2,1,5,1,1,1
291687,35,2,1,1,1,1,2,1,1
291688,25,1,4,2,1,5,2,1,1
291696,25,1,4,2,1,3,2,2,1
291703,65,2,4,2,4,1,1,1,1
291704,25,1,1,1,1,2,3,1,1
291705,65,1,1,2,2,4,1,1,1
291706,55,2,2,2,3,1,1,1,1
291707,35,2,1,1,2,5,3,1,1
291708,65,1,3,2,2,5,2,1,1
291710,45,2,4,2,1,5,5,1,1
291713,55,2,1,1,3,4,1,1,1
291717,65,1,2,2,4,1,2,1,0
291718,25,2,1,1,2,1,2,1,0
291731,25,2,1,2,1,2,5,2,1
291734,45,1,4,2,2,5,2,1,1
291738,65,2,3,2,4,1,2,1,1
291746,65,1,2,2,2,5,1,1,0
291748,60,2,1,2,2,1,5,2,0
291750,35,1,1,2,2,5,1,2,1
291751,55,2,1,1,1,1,3,1,1
291753,55,2,1,1,3,4,1,1,1
291755,35,2,1,1,1,5,1,1,1
291756,35,2,4,1,3,2,2,2,0
291762,60,2,1,1,2,2,1,1,0
291763,35,2,4,2,2,2,2,1,1
291769,25,2,4,1,2,2,2,1,1
291775,45,1,1,2,4,3,2,1,1
291778,35,1,1,1,3,4,1,1,1
291783,45,1,2,2,1,5,1,1,1
291784,25,2,4,2,1,4,3,2,1
291785,65,1,1,2,3,4,1,1,1
291786,60,1,4,2,2,4,1,1,0
291788,45,1,1,1,2,4,2,1,1
291789,25,2,1,1,1,4,4,1,1
291792,65,2,3,2,4,2,5,2,0
291796,25,2,1,1,4,1,5,2,1
291801,45,1,1,2,4,3,2,1,1
291802,65,2,4,2,2,3,1,1,1
291804,45,2,1,2,1,4,2,2,1
291806,35,1,1,1,1,3,1,1,1
291808,45,1,4,2,1,5,2,1,1
291809,35,1,1,1,2,3,2,2,1
291810,45,1,4,2,3,1,3,1,1
291814,25,2,1,1,1,2,5,1,1
291816,60,1,1,1,3,4,2,1,1
291822,60,1,2,2,1,5,1,1,0
291823,35,1,1,2,2,1,1,1,1
291830,35,2,2,1,2,4,2,1,1
291836,65,2,3,1,4,1,1,1,1
291838,25,1,1,1,1,4,1,2,1
291842,65,1,3,2,1,4,1,1,1
291844,65,2,3,2,2,4,2,1,1
291845,60,1,3,2,2,4,4,2,1
291849,65,2,2,2,1,5,2,1,1
291852,35,2,1,1,1,5,1,1,1
291857,45,1,4,2,3,5,2,1,1
291861,45,2,1,1,2,3,1,1,1
291862,25,1,4,2,3,4,5,2,1
291863,25,2,4,1,3,3,1,1,1
291864,18,2,1,1,2,1,3,2,1
291869,35,1,1,1,2,4,2,1,1
291874,45,2,2,1,3,3,3,1,1
291877,45,2,4,1,1,2,6,2,1
291878,18,2,4,2,3,2,2,1,1
291881,25,1,1,1,3,4,1,1,0
291886,55,1,1,2,2,4,2,1,1
291887,35,2,1,1,2,3,1,1,1
291889,65,1,2,2,3,5,1,1,1
291890,60,2,1,2,4,1,5,2,1
291893,65,1,4,2,4,4,2,1,1
291894,65,2,3,2,2,5,1,1,1
291899,65,2,1,1,4,2,4,1,1
291902,25,1,1,1,3,4,5,1,1
291903,45,1,4,1,3,1,1,1,1
291905,65,2,1,2,4,3,2,1,1
291909,65,2,3,1,1,5,2,1,1
291914,35,2,4,1,2,1,5,2,0
291915,65,1,3,2,2,5,3,1,1
291917,65,2,3,2,2,4,1,1,1
291918,60,1,1,2,3,1,1,1,1
291920,25,2,1,1,3,1,5,1,1
291923,45,2,1,2,1,1,2,1,0
291924,65,1,1,2,1,5,6,1,1
291927,60,2,1,2,1,5,2,1,1
291929,35,1,1,1,4,1,5,2,1
291930,65,1,1,2,4,3,2,1,1
291935,65,2,3,2,4,4,2,1,0
291937,60,1,1,2,3,3,2,1,1
291943,45,2,4,2,2,5,4,1,1
291945,35,1,2,1,1,5,2,1,1
291949,35,1,2,2,2,5,5,2,1
291950,25,2,1,1,1,1,2,2,1
291956,35,2,1,1,1,4,2,1,1
291957,65,1,1,2,1,5,2,1,1
291961,35,2,1,1,1,4,2,1,1
291962,35,2,1,1,2,2,3,1,1
291963,45,2,1,1,3,2,1,1,0
