"country","date","month","year","covid_rate","death_rate"
"Cabo Verde",Dec 2021,"12","2021",0.07,0.001
"Cabo Verde",Feb 2021,"02","2021",0.027,0
"Cabo Verde",Jan 2021,"01","2021",0.023,0
"Cabo Verde",Jul 2021,"07","2021",0.06,0.001
"Cabo Verde",Jun 2021,"06","2021",0.057,0
"Cabo Verde",Mar 2021,"03","2021",0.029,0
"Cabo Verde",May 2021,"05","2021",0.05,0
"Cabo Verde",Nov 2021,"11","2021",0.069,0.001
"Cabo Verde",Oct 2021,"10","2021",0.068,0.001
"Cabo Verde",Sep 2021,"09","2021",0.066,0.001
"Cambodia",Apr 2021,"04","2021",0,0
"Cambodia",Aug 2021,"08","2021",0.005,0
"Cambodia",Dec 2021,"12","2021",0.007,0
"Cambodia",Feb 2021,"02","2021",0,0
"Cambodia",Jan 2021,"01","2021",0,0
"Cambodia",Jul 2021,"07","2021",0.004,0
"Cambodia",Jun 2021,"06","2021",0.002,0
"Cambodia",Mar 2021,"03","2021",0,0
"Cambodia",May 2021,"05","2021",0.001,0
"Cambodia",Nov 2021,"11","2021",0.007,0
"Cambodia",Oct 2021,"10","2021",0.007,0
"Cambodia",Sep 2021,"09","2021",0.006,0
"Cameroon",Apr 2021,"04","2021",0.002,0
"Cameroon",Aug 2021,"08","2021",0.003,0
"Cameroon",Dec 2021,"12","2021",0.004,0
"Cameroon",Feb 2021,"02","2021",0.001,0
"Cameroon",Jan 2021,"01","2021",0.001,0
"Cameroon",Jul 2021,"07","2021",0.003,0
"Cameroon",Jun 2021,"06","2021",0.003,0
"Cameroon",Mar 2021,"03","2021",0.002,0
"Cameroon",May 2021,"05","2021",0.003,0
"Cameroon",Nov 2021,"11","2021",0.004,0
"Cameroon",Oct 2021,"10","2021",0.004,0
"Cameroon",Sep 2021,"09","2021",0.003,0
"Canada",Apr 2021,"04","2021",0.412,0.009
"Canada",Aug 2021,"08","2021",0.543,0.01
"Canada",Dec 2021,"12","2021",0.711,0.011
"Canada",Feb 2021,"02","2021",0.308,0.008
"Canada",Jan 2021,"01","2021",0.261,0.007
"Canada",Jul 2021,"07","2021",0.529,0.01
"Canada",Jun 2021,"06","2021",0.522,0.01
"Canada",Mar 2021,"03","2021",0.343,0.008
"Canada",May 2021,"05","2021",0.493,0.009
"Canada",Nov 2021,"11","2021",0.653,0.011
"Canada",Oct 2021,"10","2021",0.624,0.011
"Canada",Sep 2021,"09","2021",0.581,0.01
"Central African Republic",Apr 2021,"04","2021",0.001,0
"Central African Republic",Aug 2021,"08","2021",0.002,0
"Central African Republic",Dec 2021,"12","2021",0.002,0
"Central African Republic",Feb 2021,"02","2021",0.001,0
"Central African Republic",Jan 2021,"01","2021",0.001,0
"Central African Republic",Jul 2021,"07","2021",0.001,0
"Central African Republic",Jun 2021,"06","2021",0.001,0
"Central African Republic",Mar 2021,"03","2021",0.001,0
"Central African Republic",May 2021,"05","2021",0.001,0
"Central African Republic",Nov 2021,"11","2021",0.002,0
"Central African Republic",Oct 2021,"10","2021",0.002,0
"Central African Republic",Sep 2021,"09","2021",0.002,0
"Chad",Apr 2021,"04","2021",0,0
"Chad",Aug 2021,"08","2021",0,0
"Chad",Dec 2021,"12","2021",0,0
"Chad",Feb 2021,"02","2021",0,0
"Chad",Jan 2021,"01","2021",0,0
"Chad",Jul 2021,"07","2021",0,0
"Chad",Jun 2021,"06","2021",0,0
"Chad",Mar 2021,"03","2021",0,0
"Chad",May 2021,"05","2021",0,0
"Chad",Nov 2021,"11","2021",0,0
"Chad",Oct 2021,"10","2021",0,0
"Chad",Sep 2021,"09","2021",0,0
"Chile",Apr 2021,"04","2021",2.594,0.058
"Chile",Aug 2021,"08","2021",3.827,0.085
"Chile",Dec 2021,"12","2021",4.198,0.091
"Chile",Feb 2021,"02","2021",1.825,0.046
