country,date,month,year,value1,value2,,initial_value,growth_rate
Belarus,01/07/2021,7,2021,0.0457341,0.0457341,0.062129121,0.023582582,0.939316919
Belarus,01/08/2021,8,2021,0.048984984,0.048984984,0.071082274,0.023582582,1.077167976
Belarus,01/09/2021,9,2021,0.053979561,0.053979561,0.101961389,0.023582582,1.288958907
Belarus,01/10/2021,10,2021,0.060320347,0.060320347,0.117466424,0.023582582,1.557834726
Belarus,01/11/2021,11,2021,0.066623619,0.066623619,0.10449662,0.023582582,1.825119809
Belarus,01/12/2021,12,2021,0.071883742,0.071883742,0.078952811,0.023582582,2.04817096
Belgium,01/01/2021,1,2021,0.820534271,0.820534271,10.41474071,0.820534271,0
Belgium,01/02/2021,2,2021,0.897631726,0.897631726,0.093960067,0.820534271,0.093960067
Belgium,01/03/2021,3,2021,0.99407943,0.99407943,0.107446854,0.820534271,0.211502634
Belgium,01/04/2021,4,2021,1.139776141,1.139776141,0.146564456,0.820534271,0.389065859
Belgium,01/05/2021,5,2021,1.249552029,1.249552029,0.096313551,0.820534271,0.522851724
Belgium,01/06/2021,6,2021,1.304853373,1.304853373,0.044256936,0.820534271,0.590248475
Belgium,01/07/2021,7,2021,1.337417674,1.337417674,0.024956291,0.820534271,0.629935179
Belgium,01/08/2021,8,2021,1.40000987,1.40000987,0.046800785,0.820534271,0.706217425
Belgium,01/09/2021,9,2021,1.473393697,1.473393697,0.05241665,0.820534271,0.795651626
Belgium,01/10/2021,10,2021,1.565403322,1.565403322,0.062447413,0.820534271,0.907785424
Belgium,01/11/2021,11,2021,1.863303276,1.863303276,0.190302365,0.820534271,1.270841502
Belgium,01/12/2021,12,2021,2.381273345,2.381273345,0.277984843,0.820534271,1.902101021
Belize,01/01/2021,1,2021,0.02882393,0.02882393,-0.987895581,0.02882393,0
Belize,01/02/2021,2,2021,0.030556557,0.030556557,0.060110686,0.02882393,0.060110686
Belize,01/03/2021,3,2021,0.031131526,0.031131526,0.018816556,0.02882393,0.080058318
Belize,01/04/2021,4,2021,0.031535474,0.031535474,0.012975534,0.02882393,0.094072652
Belize,01/05/2021,5,2021,0.032017521,0.032017521,0.015285868,0.02882393,0.110796502
Belize,01/06/2021,6,2021,0.032682714,0.032682714,0.020775899,0.02882393,0.133874298
Belize,01/07/2021,7,2021,0.034449161,0.034449161,0.054048352,0.02882393,0.195158335
Belize,01/08/2021,8,2021,0.037974077,0.037974077,0.102322262,0.02882393,0.31744964
Belize,01/09/2021,9,2021,0.046017774,0.046017774,0.211820751,0.02882393,0.596512812
Belize,01/10/2021,10,2021,0.060118036,0.060118036,0.306409037,0.02882393,1.085698765
Belize,01/11/2021,11,2021,0.072956241,0.072956241,0.213549969,0.02882393,1.531099671
Belize,01/12/2021,12,2021,0.07859827,0.07859827,0.077334427,0.02882393,1.726840815
Benin,01/01/2021,1,2021,0.000286936,0.000286936,-0.996349336,0.000286936,0
Benin,01/02/2021,2,2021,0.000394495,0.000394495,0.37485262,0.000286936,0.37485262
Benin,01/03/2021,3,2021,0.000540946,0.000540946,0.371239107,0.000286936,0.885251678
Benin,01/04/2021,4,2021,0.000624615,0.000624615,0.15467114,0.000286936,1.176845704
Benin,01/05/2021,5,2021,0.000657835,0.000657835,0.053184556,0.000286936,1.292620275
Benin,01/06/2021,6,2021,0.000670489,0.000670489,0.019235224,0.000286936,1.336719339
Benin,01/07/2021,7,2021,0.000681857,0.000681857,0.016955677,0.000286936,1.376339998
Benin,01/08/2021,8,2021,0.000842405,0.000842405,0.235456869,0.000286936,1.935865574
Benin,01/09/2021,9,2021,0.001680635,0.001680635,0.995043042,0.000286936,4.857178184
Benin,01/10/2021,10,2021,0.002015906,0.002015906,0.199490829,0.000286936,6.025631515
Benin,01/11/2021,11,2021,0.002047908,0.002047908,0.015875061,0.000286936,6.137163841
Benin,01/12/2021,12,2021,0.00205414,0.00205414,0.003042709,0.000286936,6.158880151
Bhutan,01/01/2021,1,2021,0.001057443,0.001057443,-0.485213822,0.001057443,0
Bhutan,01/02/2021,2,2021,0.001119317,0.001119317,0.058513312,0.001057443,0.058513312
Bhutan,01/03/2021,3,2021,0.001125963,0.001125963,0.005937255,0.001057443,0.064797976
Bhutan,01/04/2021,4,2021,0.001238533,0.001238533,0.099976485,0.001057443,0.171252735
Bhutan,01/05/2021,5,2021,0.00170527,0.00170527,0.376846653,0.001057443,0.612635408
Bhutan,01/06/2021,6,2021,0.002403453,0.002403453,0.409427147,0.001057443,1.272892122
Bhutan,01/07/2021,7,2021,0.003053683,0.003053683,0.270539613,0.001057443,1.887799478
Bhutan,01/08/2021,8,2021,0.003327178,0.003327178,0.089562456,0.001057443,2.14643789
Bhutan,01/09/2021,9,2021,0.003366027,0.003366027,0.011676258,0.001057443,2.183176511
Bhutan,01/10/2021,10,2021,0.003388842,0.003388842,0.006778011,0.001057443,2.204752115
Bhutan,01/11/2021,11,2021,0.003406073,0.003406073,0.005084648,0.001057443,2.221047152
Bhutan,01/12/2021,12,2021,0.003436584,0.003436584,0.00895796,0.001057443,2.249901162
Bolivia,01/01/2021,1,2021,0.015968404,0.015968404,3.646591743,0.015968404,0
Bolivia,01/02/2021,2,2021,0.020204402,0.020204402,0.265273715,0.015968404,0.265273715
Bolivia,01/03/2021,3,2021,0.022365511,0.022365511,0.106962278,0.015968404,0.400610274
Bolivia,01/04/2021,4,2021,0.024613883,0.024613883,0.100528521,0.015968404,0.541411554
Bolivia,01/05/2021,5,2021,0.028638176,0.028638176,0.163496888,0.015968404,0.793427545
Bolivia,01/06/2021,6,2021,0.035129685,0.035129685,0.226673278,0.015968404,1.199949646
Bolivia,01/07/2021,7,2021,0.039319545,0.039319545,0.119268369,0.015968404,1.462334052
Bolivia,01/08/2021,8,2021,0.041362054,0.041362054,0.051946385,0.015968404,1.590243405
Bolivia,01/09/2021,9,2021,0.042484743,0.042484743,0.027142971,0.015968404,1.660550308
Bolivia,01/10/2021,10,2021,0.043396238,0.043396238,0.021454658,0.015968404,1.717631506
Bolivia,01/11/2021,11,2021,0.044982926,0.044982926,0.036562794,0.015968404,1.816995706
Bolivia,01/12/2021,12,2021,0.048066923,0.048066923,0.068559269,0.015968404,2.010126871
Bosnia and Herzegovina,01/01/2021,1,2021,0.035712035,0.035712035,-0.257035123,0.035712035,0
Bosnia and Herzegovina,01/02/2021,2,2021,0.03848459,0.03848459,0.077636439,0.035712035,0.077636439
Bosnia and Herzegovina,01/03/2021,3,2021,0.045074019,0.045074019,0.17122251,0.035712035,0.262152054
Bosnia and Herzegovina,01/04/2021,4,2021,0.056928182,0.056928182,0.262993268,0.035712035,0.594089547
Bosnia and Herzegovina,01/05/2021,5,2021,0.061554827,0.061554827,0.081271612,0.035712035,0.723643774
Bosnia and Herzegovina,01/06/2021,6,2021,0.062382223,0.062382223,0.013441611,0.035712035,0.746812323
Bosnia and Herzegovina,01/07/2021,7,2021,0.062569022,0.062569022,0.002994431,0.035712035,0.752043032
Bosnia and Herzegovina,01/08/2021,8,2021,0.063535265,0.063535265,0.015442834,0.035712035,0.779099541
Bosnia and Herzegovina,01/09/2021,9,2021,0.068353473,0.068353473,0.075835172,0.035712035,0.914017861
Bosnia and Herzegovina,01/10/2021,10,2021,0.074428182,0.074428182,0.088871989,0.035712035,1.084120435
Bosnia and Herzegovina,01/11/2021,11,2021,0.080819827,0.080819827,0.085876671,0.035712035,1.26309776
Bosnia and Herzegovina,01/12/2021,12,2021,0.086362609,0.086362609,0.068581957,0.035712035,1.418305433
Botswana,01/01/2021,1,2021,0.007630674,0.007630674,-0.911643775,0.007630674,0
Botswana,01/02/2021,2,2021,0.010864585,0.010864585,0.423804037,0.007630674,0.423804037
Botswana,01/03/2021,3,2021,0.01491552,0.01491552,0.372856915,0.007630674,0.954679217
Botswana,01/04/2021,4,2021,0.018646043,0.018646043,0.25011013,0.007630674,1.443564291
Botswana,01/05/2021,5,2021,0.021450548,0.021450548,0.150407543,0.007630674,1.811094792
Botswana,01/06/2021,6,2021,0.026376229,0.026376229,0.229629615,0.007630674,2.456605408
Botswana,01/07/2021,7,2021,0.036858823,0.036858823,0.397425783,0.007630674,3.830349519
Botswana,01/08/2021,8,2021,0.05866262,0.05866262,0.591548934,0.007630674,6.687737628
Botswana,01/09/2021,9,2021,0.071748897,0.071748897,0.223076927,0.007630674,8.402694511
Botswana,01/10/2021,10,2021,0.077727488,0.077727488,0.083326586,0.007630674,9.186188945
Botswana,01/11/2021,11,2021,0.082169776,0.082169776,0.057152092,0.007630674,9.768350953
Botswana,01/12/2021,12,2021,0.085934661,0.085934661,0.045818363,0.007630674,10.26173916
Brazil,01/01/2021,1,2021,2.811936346,2.811936346,31.7217949,2.811936346,0
Brazil,01/02/2021,2,2021,3.296058458,3.296058458,0.172166811,2.811936346,0.172166811
Brazil,01/03/2021,3,2021,3.88795932,3.88795932,0.179578387,2.811936346,0.382662636
Brazil,01/04/2021,4,2021,4.58973544,4.58973544,0.180499862,2.811936346,0.63223305
Brazil,01/05/2021,5,2021,5.21601655,5.21601655,0.136452551,2.811936346,0.854955414
Brazil,01/06/2021,6,2021,5.87584596,5.87584596,0.126500636,2.811936346,1.089608454
