"month","country","value","date"
"10","Burundi",0.002,2021-10-01
"11","Burundi",0.002,2021-11-01
"12","Burundi",0.002,2021-12-01
"01","Cabo Verde",0.023,2021-01-01
"02","Cabo Verde",0.027,2021-02-01
"03","Cabo Verde",0.029,2021-03-01
"04","Cabo Verde",0.036,2021-04-01
"05","Cabo Verde",0.05,2021-05-01
"06","Cabo Verde",0.057,2021-06-01
"07","Cabo Verde",0.06,2021-07-01
"08","Cabo Verde",0.062,2021-08-01
"09","Cabo Verde",0.066,2021-09-01
"10","Cabo Verde",0.068,2021-10-01
"11","Cabo Verde",0.069,2021-11-01
"12","Cabo Verde",0.07,2021-12-01
"01","Cambodia",0,2021-01-01
"02","Cambodia",0,2021-02-01
"03","Cambodia",0,2021-03-01
"04","Cambodia",0,2021-04-01
"05","Cambodia",0.001,2021-05-01
"06","Cambodia",0.002,2021-06-01
"07","Cambodia",0.004,2021-07-01
"08","Cambodia",0.005,2021-08-01
"09","Cambodia",0.006,2021-09-01
"10","Cambodia",0.007,2021-10-01
"11","Cambodia",0.007,2021-11-01
"12","Cambodia",0.007,2021-12-01
"01","Cameroon",0.001,2021-01-01
"02","Cameroon",0.001,2021-02-01
"03","Cameroon",0.002,2021-03-01
"04","Cameroon",0.002,2021-04-01
"05","Cameroon",0.003,2021-05-01
"06","Cameroon",0.003,2021-06-01
"07","Cameroon",0.003,2021-07-01
"08","Cameroon",0.003,2021-08-01
"09","Cameroon",0.003,2021-09-01
"10","Cameroon",0.004,2021-10-01
"11","Cameroon",0.004,2021-11-01
"12","Cameroon",0.004,2021-12-01
"01","Canada",0.261,2021-01-01
"02","Canada",0.308,2021-02-01
"03","Canada",0.343,2021-03-01
"04","Canada",0.412,2021-04-01
"05","Canada",0.493,2021-05-01
"06","Canada",0.522,2021-06-01
"07","Canada",0.529,2021-07-01
"08","Canada",0.543,2021-08-01
"09","Canada",0.581,2021-09-01
"10","Canada",0.624,2021-10-01
"11","Canada",0.653,2021-11-01
"12","Canada",0.711,2021-12-01
"01","Central African Republic",0.001,2021-01-01
"02","Central African Republic",0.001,2021-02-01
"03","Central African Republic",0.001,2021-03-01
"04","Central African Republic",0.001,2021-04-01
"05","Central African Republic",0.001,2021-05-01
"06","Central African Republic",0.001,2021-06-01
"07","Central African Republic",0.001,2021-07-01
"08","Central African Republic",0.002,2021-08-01
"09","Central African Republic",0.002,2021-09-01
"10","Central African Republic",0.002,2021-10-01
"11","Central African Republic",0.002,2021-11-01
"12","Central African Republic",0.002,2021-12-01
"01","Chad",0,2021-01-01
"02","Chad",0,2021-02-01
"03","Chad",0,2021-03-01
"04","Chad",0,2021-04-01
"05","Chad",0,2021-05-01
"06","Chad",0,2021-06-01
"07","Chad",0,2021-07-01
"08","Chad",0,2021-08-01
"09","Chad",0,2021-09-01
"10","Chad",0,2021-10-01
"11","Chad",0,2021-11-01
"12","Chad",0,2021-12-01
"01","Chile",1.566,2021-01-01
"02","Chile",1.825,2021-02-01
"03","Chile",2.127,2021-03-01
"04","Chile",2.594,2021-04-01
"05","Chile",3.027,2021-05-01
"06","Chile",3.486,2021-06-01
"07","Chile",3.743,2021-07-01
"08","Chile",3.827,2021-08-01
"09","Chile",3.867,2021-09-01
"10","Chile",3.926,2021-10-01
"11","Chile",4.063,2021-11-01
"12","Chile",4.198,2021-12-01
"01","China",0,2021-01-01
"02","China",0,2021-02-01
"03","China",0,2021-03-01
"04","China",0,2021-04-01
"05","China",0,2021-05-01
"06","China",0,2021-06-01
"07","China",0,2021-07-01
"08","China",0,2021-08-01
"09","China",0,2021-09-01
"10","China",0,2021-10-01
"11","China",0,2021-11-01
"12","China",0,2021-12-01
"01","Colombia",6.943,2021-01-01
"02","Colombia",8.08,2021-02-01
"03","Colombia",8.548,2021-03-01
"04","Colombia",9.657,2021-04-01
"05","Colombia",11.512,2021-05-01
"06","Colombia",14.108,2021-06-01
"07","Colombia",16.876,2021-07-01
"08","Colombia",17.938,2021-08-01
"09","Colombia",18.197,2021-09-01
"10","Colombia",18.363,2021-10-01
"11","Colombia",18.567,2021-11-01
"12","Colombia",18.82,2021-12-01
"01","Comoros",0.002,2021-01-01
"02","Comoros",0.004,2021-02-01
"03","Comoros",0.004,2021-03-01
"04","Comoros",0.004,2021-04-01
"05","Comoros",0.004,2021-05-01
"06","Comoros",0.004,2021-06-01
"07","Comoros",0.005,2021-07-01
"08","Comoros",0.005,2021-08-01
"09","Comoros",0.005,2021-09-01
"10","Comoros",0.005,2021-10-01
"11","Comoros",0.005,2021-11-01
"12","Comoros",0.006,2021-12-01
"01","Congo (Brazzaville)",0.001,2021-01-01
"02","Congo (Brazzaville)",0.002,2021-02-01
"03","Congo (Brazzaville)",0.002,2021-03-01
