"month","year","country","value","date","log_value"
"05","2021","Azerbaijan",32.4508428144843,May 2021,3.47972641552419
"06","2021","Azerbaijan",33.0620850973246,Jun 2021,3.49838716049856
"07","2021","Azerbaijan",33.3965677839953,Jul 2021,3.50845313374416
"08","2021","Azerbaijan",37.0794181654246,Aug 2021,3.61306204924295
"09","2021","Azerbaijan",45.5717945493593,Sep 2021,3.81928898456097
"10","2021","Azerbaijan",49.6302102584061,Oct 2021,3.90459972610873
"11","2021","Azerbaijan",55.4732313033358,Nov 2021,4.01590058554042
"12","2021","Azerbaijan",59.8035295389322,Dec 2021,4.091064681605
"01","2021","Bahamas",20.4399456371946,Jan 2021,3.01749110570352
"02","2021","Bahamas",21.2461347546586,Feb 2021,3.05617498492731
"03","2021","Bahamas",22.295378242803,Mar 2021,3.1043794033001
"04","2021","Bahamas",24.5510890498278,Apr 2021,3.20075621373842
"05","2021","Bahamas",28.3249805097136,May 2021,3.34374411881899
"06","2021","Bahamas",31.0338514118317,Jun 2021,3.43507858973437
"07","2021","Bahamas",34.2731271606656,Jul 2021,3.5343615823994
"08","2021","Bahamas",41.9720363608682,Aug 2021,3.73700359560779
"09","2021","Bahamas",50.1938556161337,Sep 2021,3.91589262112144
"10","2021","Bahamas",55.4301775256655,Oct 2021,4.01512416612667
"11","2021","Bahamas",57.4743334147069,Nov 2021,4.05133847275175
"12","2021","Bahamas",58.9261245960851,Dec 2021,4.07628453385153
"01","2021","Bahrain",57.3040402055975,Jan 2021,4.04837113093129
"02","2021","Bahrain",66.4298437732058,Feb 2021,4.19614640992376
"03","2021","Bahrain",78.0965383031471,Mar 2021,4.35794573195994
"04","2021","Bahrain",94.7738860421933,Apr 2021,4.55149390762394
"05","2021","Bahrain",120.163362870851,May 2021,4.78885217423249
"06","2021","Bahrain",151.835829734234,Jun 2021,5.02279986961507
"07","2021","Bahrain",157.299977574961,Jul 2021,5.05815466750199
"08","2021","Bahrain",159.242836362262,Aug 2021,5.07043030984401
"09","2021","Bahrain",160.997808119459,Sep 2021,5.08139075072694
"10","2021","Bahrain",162.220898175784,Oct 2021,5.08895897540276
"11","2021","Bahrain",162.946013604195,Nov 2021,5.09341894106407
"12","2021","Bahrain",163.818954695185,Dec 2021,5.09876188325392
"01","2021","Bangladesh",3.19494477595418,Jan 2021,1.16156980315874
"02","2021","Bangladesh",3.28447076813515,Feb 2021,1.18920553336716
"03","2021","Bangladesh",3.44407652987368,Mar 2021,1.23665580753627
"04","2021","Bangladesh",4.25706252114625,Apr 2021,1.4485793734063
"05","2021","Bangladesh",4.74237006522758,May 2021,1.55653702450285
"06","2021","Bangladesh",5.11868697692553,Jun 2021,1.63289795634331
"07","2021","Bangladesh",6.54888740342449,Jul 2021,1.87929517314637
"08","2021","Bangladesh",8.57040518474396,Aug 2021,2.14831501092542
"09","2021","Bangladesh",9.31805543287511,Sep 2021,2.2319539623869
"10","2021","Bangladesh",9.49922898970556,Oct 2021,2.25121063633457
"11","2021","Bangladesh",9.55094557208544,Nov 2021,2.25664016237501
"12","2021","Bangladesh",9.5971437176333,Dec 2021,2.26146552478994
"01","2021","Barbados",3.63046487843465,Jan 2021,1.28936070576153
"02","2021","Barbados",7.86427400716943,Feb 2021,2.06233022546896
"03","2021","Barbados",11.9529649264225,Mar 2021,2.48097935860078
"04","2021","Barbados",13.0717202965273,Apr 2021,2.57045114074424
"05","2021","Barbados",13.7812186359972,May 2021,2.62330669679852
"06","2021","Barbados",14.0720531995226,Jun 2021,2.64419078795132
"07","2021","Barbados",14.7232401949554,Jul 2021,2.68942721101735
"08","2021","Barbados",16.0113356893601,Aug 2021,2.77329695197089
