"country","date","month","year","value","min","max","normalised_value"
"Bosnia and Herzegovina",Nov 2021,"11","2021",80.8198267808456,35.712035163568,86.36260866141,0.890568230568988
"Bosnia and Herzegovina",Dec 2021,"12","2021",86.36260866141,35.712035163568,86.36260866141,1
"Botswana",Jan 2021,"01","2021",7.63067405345994,7.63067405345994,85.934660829934,0
"Botswana",Feb 2021,"02","2021",10.8645845198229,7.63067405345994,85.934660829934,0.041299435692776
"Botswana",Mar 2021,"03","2021",14.9155199818931,7.63067405345994,85.934660829934,0.0930328866808329
"Botswana",Apr 2021,"04","2021",18.6460426300962,7.63067405345994,85.934660829934,0.140674428341441
"Botswana",May 2021,"05","2021",21.4505480938884,7.63067405345994,85.934660829934,0.176490043602487
"Botswana",Jun 2021,"06","2021",26.3762292032105,7.63067405345994,85.934660829934,0.239394645425418
"Botswana",Jul 2021,"07","2021",36.8588227426814,7.63067405345994,85.934660829934,0.373265141309546
"Botswana",Aug 2021,"08","2021",58.6626200482508,7.63067405345994,85.934660829934,0.651715807784682
"Botswana",Sep 2021,"09","2021",71.7488970392813,7.63067405345994,85.934660829934,0.818837272856269
"Botswana",Oct 2021,"10","2021",77.7274876843912,7.63067405345994,85.934660829934,0.895188310539399
"Botswana",Nov 2021,"11","2021",82.1697762185723,7.63067405345994,85.934660829934,0.95191963057885
"Botswana",Dec 2021,"12","2021",85.934660829934,7.63067405345994,85.934660829934,1
"Brazil",Jan 2021,"01","2021",2811.93634606919,2811.93634606919,7403.87460950755,0
