"country","date","month","year","covid_rate","death_rate"
"Burma",Mar 2021,"03","2021",2.613,0.059
"Burma",May 2021,"05","2021",2.63,0.059
"Burma",Nov 2021,"11","2021",9.435,0.348
"Burma",Oct 2021,"10","2021",8.914,0.336
"Burma",Sep 2021,"09","2021",8.042,0.308
"Burundi",Apr 2021,"04","2021",0.286,0.001
"Burundi",Aug 2021,"08","2021",0.825,0.003
"Burundi",Dec 2021,"12","2021",1.881,0.003
"Burundi",Feb 2021,"02","2021",0.158,0
"Burundi",Jan 2021,"01","2021",0.1,0
"Burundi",Jul 2021,"07","2021",0.5,0.001
"Burundi",Jun 2021,"06","2021",0.429,0.001
"Burundi",Mar 2021,"03","2021",0.21,0
"Burundi",May 2021,"05","2021",0.366,0.001
"Burundi",Nov 2021,"11","2021",1.704,0.003
"Burundi",Oct 2021,"10","2021",1.631,0.003
"Burundi",Sep 2021,"09","2021",1.217,0.003
"Cabo Verde",Apr 2021,"04","2021",36.224,0.341
"Cabo Verde",Aug 2021,"08","2021",62.003,0.543
"Cabo Verde",Dec 2021,"12","2021",69.842,0.632
"Cabo Verde",Feb 2021,"02","2021",26.516,0.252
"Cabo Verde",Jan 2021,"01","2021",23.164,0.216
"Cabo Verde",Jul 2021,"07","2021",59.719,0.527
"Cabo Verde",Jun 2021,"06","2021",56.992,0.498
"Cabo Verde",Mar 2021,"03","2021",29.271,0.284
"Cabo Verde",May 2021,"05","2021",49.9,0.441
"Cabo Verde",Nov 2021,"11","2021",68.886,0.629
"Cabo Verde",Oct 2021,"10","2021",68.3,0.623
"Cabo Verde",Sep 2021,"09","2021",66.065,0.585
"Cambodia",Apr 2021,"04","2021",0.377,0.003
"Cambodia",Aug 2021,"08","2021",5.137,0.101
"Cambodia",Dec 2021,"12","2021",7.2,0.179
"Cambodia",Feb 2021,"02","2021",0.032,0
"Cambodia",Jan 2021,"01","2021",0.025,0
"Cambodia",Jul 2021,"07","2021",3.889,0.062
"Cambodia",Jun 2021,"06","2021",2.401,0.023
"Cambodia",Mar 2021,"03","2021",0.09,0
"Cambodia",May 2021,"05","2021",1.327,0.009
"Cambodia",Nov 2021,"11","2021",7.15,0.172
"Cambodia",Oct 2021,"10","2021",6.942,0.156
"Cambodia",Sep 2021,"09","2021",6.106,0.125
"Cameroon",Apr 2021,"04","2021",2.369,0.035
"Cameroon",Aug 2021,"08","2021",3.108,0.05
"Cameroon",Dec 2021,"12","2021",4.066,0.069
"Cameroon",Feb 2021,"02","2021",1.226,0.019
"Cameroon",Jan 2021,"01","2021",1.054,0.017
"Cameroon",Jul 2021,"07","2021",3.065,0.05
"Cameroon",Jun 2021,"06","2021",3.013,0.049
"Cameroon",Mar 2021,"03","2021",1.526,0.023
"Cameroon",May 2021,"05","2021",2.858,0.045
"Cameroon",Nov 2021,"11","2021",3.98,0.066
"Cameroon",Oct 2021,"10","2021",3.688,0.059
"Cameroon",Sep 2021,"09","2021",3.214,0.052
"Canada",Apr 2021,"04","2021",412.377,8.736
"Canada",Aug 2021,"08","2021",542.889,9.923
"Canada",Dec 2021,"12","2021",710.988,11.129
"Canada",Feb 2021,"02","2021",308.017,7.875
"Canada",Jan 2021,"01","2021",260.628,6.657
"Canada",Jul 2021,"07","2021",529.306,9.82
"Canada",Jun 2021,"06","2021",522.255,9.634
"Canada",Mar 2021,"03","2021",343.117,8.353
"Canada",May 2021,"05","2021",492.509,9.248
"Canada",Nov 2021,"11","2021",652.577,10.898
"Canada",Oct 2021,"10","2021",623.67,10.561
"Canada",Sep 2021,"09","2021",581.148,10.143
"Central African Republic",Apr 2021,"04","2021",1.194,0.016
"Central African Republic",Aug 2021,"08","2021",2.083,0.02
"Central African Republic",Dec 2021,"12","2021",2.469,0.021
"Central African Republic",Feb 2021,"02","2021",1.034,0.013
"Central African Republic",Jan 2021,"01","2021",1.03,0.013
"Central African Republic",Jul 2021,"07","2021",1.479,0.02
"Central African Republic",Jun 2021,"06","2021",1.472,0.02
"Central African Republic",Mar 2021,"03","2021",1.047,0.013
"Central African Republic",May 2021,"05","2021",1.418,0.02
"Central African Republic",Nov 2021,"11","2021",2.411,0.021
"Central African Republic",Oct 2021,"10","2021",2.372,0.021
"Central African Republic",Sep 2021,"09","2021",2.345,0.021
"Chad",Apr 2021,"04","2021",0.285,0.01
"Chad",Aug 2021,"08","2021",0.303,0.011
"Chad",Dec 2021,"12","2021",0.345,0.011
"Chad",Feb 2021,"02","2021",0.224,0.008
"Chad",Jan 2021,"01","2021",0.171,0.007
"Chad",Jul 2021,"07","2021",0.302,0.011
"Chad",Jun 2021,"06","2021",0.301,0.011
"Chad",Mar 2021,"03","2021",0.263,0.009
"Chad",May 2021,"05","2021",0.298,0.01
